day,max_temp,prec_cover,cloud_cover,solar_energy,sunset,DST,charge_to
Weekday,6.8,91.67,90.1,0.2,0.659814815,FALSE,100
Saturday,8.9,33.33,60.2,1.9,0.659618056,FALSE,100
Sunday,10.9,79.17,70.4,0.8,0.659456019,FALSE,100
Monday,9.9,41.67,57,0.8,0.659340278,FALSE,100
Weekday,9.9,45.83,72.5,1.7,0.659270833,FALSE,100
Weekday,8.9,70.83,84.8,1.2,0.659236111,FALSE,100
Weekday,7.7,25,80.4,1,0.659247685,FALSE,100
Weekday,7.9,12.5,80.6,1.2,0.659293981,FALSE,100
Saturday,8.9,4.17,75.1,1.4,0.659398148,FALSE,100
Sunday,11,0,45.1,3.5,0.659525463,FALSE,100
Monday,12.8,37.5,72.1,0.7,0.659710648,FALSE,100
Weekday,11.8,62.5,69.8,0.9,0.659930556,FALSE,100
Weekday,10,45.83,84.2,1,0.660185185,FALSE,100
Weekday,12.7,45.83,83.3,1.5,0.660497685,FALSE,100
Weekday,10.9,45.83,83.9,0.9,0.660844907,FALSE,100
Saturday,11.7,41.67,66.8,2.7,0.661226852,FALSE,100
Sunday,13.8,58.33,64.8,1.3,0.661655093,FALSE,100
Monday,10.8,45.83,52,1.1,0.662118056,FALSE,100
Weekday,7.8,4.17,53.9,2.6,0.662627315,FALSE,100
Weekday,11.9,87.5,78.2,0.2,0.663171296,FALSE,100
Weekday,9.9,70.83,69.7,1.3,0.66375,FALSE,100
Weekday,8.9,0,49.9,1.3,0.664375,FALSE,100
Saturday,10.9,29.17,76,0.7,0.665023148,FALSE,100
Sunday,8,29.17,63,1.2,0.665717593,FALSE,100
Monday,8.9,58.33,64.3,2.6,0.666446759,FALSE,100
Weekday,10,58.33,72.7,0.4,0.667210648,FALSE,100
Weekday,9,50,70.5,1.7,0.668009259,FALSE,100
Weekday,7,33.33,53,2.9,0.668831019,FALSE,100
Weekday,6.9,20.83,81.5,2,0.669699074,FALSE,100
Saturday,6,8.33,65.3,3.9,0.670590278,FALSE,100
Sunday,3.9,8.33,72.2,2.1,0.67150463,FALSE,100
Monday,2.9,4.17,72.4,1.3,0.672453704,FALSE,100
Weekday,3.9,0,36.8,4.3,0.673425926,FALSE,100
Weekday,5,0,57.7,1.8,0.67443287,FALSE,100
Weekday,5.9,0,86,0.9,0.675462963,FALSE,100
Weekday,5.8,0,90.5,0.9,0.676516204,FALSE,100
Saturday,7.9,4.17,66,4.2,0.677592593,FALSE,100
Sunday,4.9,12.5,51.9,2.3,0.678680556,FALSE,100
Monday,2,0,16.1,5.1,0.679803241,FALSE,100
Weekday,4.8,4.17,66.5,4.9,0.6809375,FALSE,100
Weekday,1.8,0,31.8,4,0.682094907,FALSE,100
Weekday,3,0,1.1,5.4,0.683275463,FALSE,100
Weekday,4.9,4.17,34.4,4.4,0.684467593,FALSE,92.140625
Saturday,6,12.5,74.8,1.6,0.685671296,FALSE,100
Sunday,11.9,33.33,70.1,2.4,0.686898148,FALSE,100
Monday,12,4.17,45.6,5.5,0.688136574,FALSE,100
Weekday,14,29.17,70.6,1,0.689386574,FALSE,100
Weekday,12,0,65.1,3.7,0.690648148,FALSE,100
Weekday,12,12.5,80.9,1.7,0.691921296,FALSE,100
Weekday,12.8,25,39,5.1,0.693194444,FALSE,100
Saturday,8,4.17,75.8,3.7,0.694490741,FALSE,100
Sunday,10.9,0,71.7,3.1,0.695787037,FALSE,100
Monday,11.9,45.83,79.2,1.1,0.697094907,FALSE,100
Weekday,10.9,37.5,58.9,2.8,0.698414352,FALSE,88.234375
Weekday,10,33.33,58.8,2.3,0.699733796,FALSE,100
Weekday,8,0,32.6,5.5,0.701053241,FALSE,100
Weekday,12.9,0,67.5,3.6,0.702384259,FALSE,100
Saturday,12.9,33.33,80.1,2.2,0.703726852,FALSE,100
Sunday,12.9,25,73.1,1.2,0.70505787,FALSE,100
Monday,11,0,90.2,1.8,0.706400463,FALSE,100
Weekday,12.9,54.17,88.6,1.6,0.707743056,FALSE,100
Weekday,6,12.5,75.4,4,0.709085648,FALSE,100
Weekday,4,75,89.4,1,0.710428241,FALSE,100
Weekday,10.8,79.17,79.8,1.3,0.711782407,FALSE,100
Saturday,9,29.17,62.4,3.9,0.713125,FALSE,100
Sunday,8.1,0,75.9,2.7,0.714467593,FALSE,100
Monday,8.9,20.83,44.1,8.5,0.715821759,FALSE,100
Weekday,10,50,76.1,1.7,0.717164352,FALSE,100
Weekday,14,16.67,75.2,2.7,0.718506944,FALSE,100
Weekday,16.9,37.5,72.3,4.7,0.719849537,FALSE,100
Weekday,12.9,62.5,67.3,6.5,0.72119213,FALSE,82.375
Saturday,12.9,45.83,68.3,2.8,0.722523148,FALSE,100
Sunday,12.9,54.17,73.9,5,0.723865741,FALSE,100
Monday,11.9,12.5,64.3,4.9,0.725196759,FALSE,100
Weekday,12.9,16.67,57.7,6.6,0.726527778,FALSE,100
Weekday,11.9,54.17,83.5,2.1,0.720914352,FALSE,100
Weekday,8.9,54.17,69.1,1.5,0.729178241,FALSE,100
Weekday,7.9,20.83,57.2,5.9,0.730497685,FALSE,88.234375
Saturday,8,4.17,54.5,10.8,0.73181713,FALSE,65.578125
Sunday,7.9,8.33,37.5,7.5,0.733136574,FALSE,74.5625
Monday,7.9,8.33,65.4,5.5,0.734456019,FALSE,84
Weekday,7.9,29.17,51.3,4.4,0.735763889,FALSE,98
Weekday,11,41.67,73.5,2.2,0.737060185,FALSE,100
Weekday,10.9,41.67,66.9,3.5,0.738368056,FALSE,98
Weekday,6.9,41.67,56.1,4.3,0.739664352,FALSE,100
Sunday,6.9,0,51.1,8.1,0.742256944,FALSE,100
Monday,10,25,34.8,9.2,0.743541667,FALSE,63.8203125
Weekday,10.9,16.67,65.7,7.1,0.744826389,FALSE,72
Weekday,9.8,4.17,59.2,9.4,0.746111111,FALSE,58.1171875
Weekday,7.8,0,82.5,5,0.747395833,FALSE,100
Weekday,8,0,81.8,5,0.748668981,FALSE,98
Saturday,11,12.5,78.7,6.5,0.74994213,FALSE,100
Sunday,7.9,100,93.3,1.6,0.751215278,FALSE,100
Monday,8,25,92.4,2.6,0.752476852,FALSE,100
Weekday,13.9,50,74.7,3.7,0.75375,FALSE,88.234375
Weekday,13.8,8.33,70.9,3.9,0.755011574,FALSE,98
Weekday,14.9,29.17,65.4,4.6,0.756261574,FALSE,98
Weekday,14.9,16.67,60.7,8.8,0.757523148,FALSE,67.7265625
Saturday,10,25,70,7.4,0.758784722,FALSE,79.4453125
