day,max_temp,prec_cover,cloud_cover,solar_energy,sunset,DST,charge_to
Weekday,2.1,8.33,37.4,5,0.684826389,FALSE,100
Weekday,5.9,8.33,13.8,5.6,0.686041667,FALSE,100
Saturday,2.3,4.17,19.6,5.4,0.687268519,FALSE,100
Sunday,2.9,4.17,53.5,1.8,0.688506944,FALSE,100
Monday,5.1,0,44.6,4.5,0.689768519,FALSE,100
Weekday,6.2,0,33.1,5.3,0.691030093,FALSE,100
Weekday,9,29.17,76.2,1.3,0.692303241,FALSE,100
Weekday,7,4.17,73.9,2.9,0.693587963,FALSE,100
Weekday,5,25,92.7,1.6,0.694884259,FALSE,100
Saturday,7,4.17,86,3.7,0.69619213,FALSE,100
Sunday,8,8.33,71.1,4.2,0.6975,FALSE,100
Monday,8.1,4.17,58,4.2,0.698819444,FALSE,100
Weekday,9.8,25,41.6,6.5,0.700138889,FALSE,99
Weekday,9,4.17,59.4,1,0.701469907,FALSE,100
Weekday,10,0,63.7,1.7,0.702800926,FALSE,100
Weekday,11.1,0,75.3,2.6,0.704143519,FALSE,100
Saturday,8.9,4.17,88.4,1.9,0.705486111,FALSE,100
Sunday,7,0,13.6,6.5,0.706828704,FALSE,94.09375
Monday,7.8,8.33,37.9,7.3,0.708171296,FALSE,82.234375
Weekday,8.2,0,22.7,7.4,0.709409722,FALSE,74.1875
Weekday,7.1,0,14.3,8.4,0.710752315,FALSE,74.1875
Weekday,8.1,0,48.2,7,0.712094907,FALSE,85
Weekday,8.8,0,56.1,3.5,0.713449074,FALSE,100
Saturday,9.9,0,88.4,3.7,0.714791667,FALSE,100
Sunday,8,0,88.7,2.1,0.716134259,FALSE,100
Monday,9,0,49.4,5.5,0.717476852,FALSE,90
Weekday,9.8,8.33,38.4,3.8,0.718819444,FALSE,92
Weekday,11,12.5,65.7,6.4,0.720162037,FALSE,100
Weekday,12.8,41.67,76.6,2.2,0.72150463,FALSE,100
Weekday,14,8.33,82.1,2.8,0.722847222,FALSE,100
Saturday,13,33.33,80.8,3,0.724178241,FALSE,100
Sunday,11.8,8.33,49.7,6.4,0.725509259,FALSE,81.3984375
Monday,13.8,0,65.9,7.9,0.726840278,FALSE,79.4453125
Weekday,10.1,0,85.4,6.3,0.728171296,FALSE,95.0703125
Weekday,8.8,58.33,88.5,6.5,0.729490741,FALSE,100
Weekday,7.8,8.33,49.8,9.9,0.730810185,FALSE,52
Weekday,9.7,37.5,61.4,5.6,0.73212963,FALSE,95
Saturday,6,8.33,61.2,5,0.733449074,FALSE,93
Sunday,7.9,0,52.2,7.8,0.734756944,FALSE,67.5390625
Monday,7,16.67,78.9,3.3,0.736064815,FALSE,100
Weekday,7.7,37.5,88.5,3.6,0.737372685,FALSE,100
Weekday,7,29.17,86.4,4.7,0.738680556,FALSE,100
Weekday,6,4.17,88.2,4.2,0.739976852,FALSE,100
Weekday,6,4.17,89.4,3.6,0.741273148,FALSE,100
Saturday,5.1,0,89.4,3.7,0.74255787,FALSE,100
Sunday,4,0,86.2,2.6,0.743842593,FALSE,100
Monday,7,62.5,82.7,4.2,0.745127315,FALSE,100
Weekday,5.5,25,55.3,8.6,0.746412037,FALSE,41.9609375
Weekday,2.7,45.83,80.6,4.4,0.747696759,FALSE,99
Weekday,1,79.17,94.6,3.1,0.748969907,FALSE,100
Weekday,3.9,37.5,69.8,10,0.750243056,FALSE,56.0078125
Saturday,5.2,54.17,75.9,9.6,0.751516204,FALSE,57.0703125
Sunday,12.8,37.5,78.5,7.2,0.752777778,FALSE,45.3515625
Monday,12.8,83.33,82.8,5.2,0.754039352,FALSE,100
Weekday,6.6,79.17,59.2,9.1,0.755300926,FALSE,48.796875
Weekday,5.9,37.5,47.9,6.4,0.7565625,FALSE,64
Weekday,11.8,50,85.4,2.9,0.757824074,FALSE,100
Weekday,14.8,25,51.5,5.7,0.759074074,FALSE,71.1875
Saturday,13,58.33,68.9,6,0.760324074,FALSE,95.0703125
